country_code	partner_type	partner_code	partner_name	insertion_order_id	insertion_order_name	campaign_id	campaign_name	ad_id	ad_name	advertiser_id	advertiser_name	dsp_code	dsp_name	line_item_id	line_item_name	line_item_type	creative_id	creative_name	creative_size	creative_type	cm_placement_id	placement_id	placement_name	inventory_source_id	inventory_source_name	inventory_source_type	ssp_code	ssp_name	publisher_id	publisher_name	conversion_pixel_id	conversion_pixel_name	package_id	package_name	exchange_id	exchange_name	industry_id	industry_name	sub_industry_name	market	pricing_model	channel_type	device_type	browser	operating_system	carrier	tracking_id	tracking_name	data_type	data_unique_identifier	data_provider_id	data_provider_name	click_thru_url	city	region	dma	country	zip_code	currency	event_datetime	impression_datetime	conversion_datetime	premium	ad_position	impressions	billable_impressions	data_impressions	viewable_impressions	measurable_impressions	clicks	conversions	interactions	interaction_time	post_click_conversions	post_view_conversions	media_cost	media_cost_tax	cpm_fee	data_cost	data_cost_tax	ad_serving_fee	ad_serving_fee_tax	cdn_fee	cdn_fee_tax	platform_fee_tax	platform_fee	agency_fee	agency_fee_tax	total_media_cost	total_cost	revenue	revenue_ecpm	profit	profit_margin	cpm	cpa	cpc	ecpm	ecpa	ecpc	ctr	cpm_rate	cpcv	roi	viewability_impressions_cost	viewability_impressions_cost_tax	rich_media_cost	rich_media_cost_tax	dynamic_creative_cost	dynamic_creative_cost_tax	verification_cost	verification_cost_tax	video_view_rate	video_average_view_time	video_completions	video_plays	video_quartile_view_0	video_quartile_view_25	video_quartile_view_50	video_quartile_view_75	video_quartile_view_100	agency_id	agency_name	campaign_start_date	campaign_end_date
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/25/2016					101					5																															4.95049505																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/26/2016					94					3																															3.191489362																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/27/2016					19					0																															0																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/28/2016					0					0																															0																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/29/2016					25					9																															36																								
US	FPA	SPEC	Specific Media				Chick-Fil-A - Pre-roll - Atlanta_SW Salad-3.14-5.31														16988951		15s - Chick-Fil-A - Atlanta -  Mobile 																																					4/30/2016					31					3																															9.677419355																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop  - ABC																																					2/12/2016					0					0																															0																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop  - ABC																																					2/22/2016					12					0																															0																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop  - ABC																																					2/23/2016					1					0																															0																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					2/17/2016					12					8																															66.66666667																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					2/18/2016					3					3																															100																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					2/19/2016					29					3																															10.34482759																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					2/20/2016					186					3																															1.612903226																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					2/21/2016					186					3																															1.612903226																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					2/22/2016					187					3																															1.604278075																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					2/23/2016					224					4																															1.785714286																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					2/24/2016					281					3																															1.067615658																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					2/25/2016					1223					5																															0.408830744																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					2/26/2016					5837					6																															0.10279253																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					2/27/2016					12386					4																															0.032294526																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					2/28/2016					11845					4																															0.033769523																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					2/29/2016					11824					6																															0.050744249																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/1/2016					511					6																															1.174168298																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/2/2016					5429					8																															0.147356788																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/3/2016					11374					7																															0.061543872																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/4/2016					15602					9																															0.057684912																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/5/2016					18027					6																															0.033283408																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/6/2016					19334					6																															0.031033413																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/7/2016					21608					7																															0.032395409																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/8/2016					2534					4																															0.157853197																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/9/2016					10302					6																															0.058241118																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/10/2016					15115					7																															0.046311611																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/11/2016					7177					7																															0.097533789																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/12/2016					7127					7																															0.098218044																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/13/2016					427					5																															1.170960187																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/14/2016					0					0																															0																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/15/2016					0					0																															0																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/16/2016					0					0																															0																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/17/2016					0					0																															0																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/18/2016					0					0																															0																								
US	FPA	SPEC	Specific Media				Chick-Fil-A_Atlanta_Catering/Nuggets-2.15-3.13														16635749		15s - Chick-Fil-A - Atlanta - Desktop 																																					3/19/2016					0					0																															0																								
